station_code,valid_from,valid_to,segment_number,n_segments_reported,curve_type,equation_type,stage_min_cm,stage_max_cm,table_stage_step_cm,coefficient_a,coefficient_h0_m,coefficient_n,consistency_level,rating_curve_id,valid_from_dt,valid_to_dt
73900000,1959-05-28 00:00:00.0,1975-12-08 00:00:00.0,3,3.0,1,1,214.0,550.0,1.0,34.4,0.64,1.7,2,73900000_1959-05-28 00:00:00.0_1975-12-08 00:00:00.0,1959-05-28,1975-12-08
73900000,1975-12-09 00:00:00.0,1977-11-11 00:00:00.0,1,2.0,1,1,50.0,214.0,1.0,24.9537,0.37,1.769,2,73900000_1975-12-09 00:00:00.0_1977-11-11 00:00:00.0,1975-12-09,1977-11-11
73900000,1975-12-09 00:00:00.0,1977-11-11 00:00:00.0,2,2.0,1,1,214.0,500.0,1.0,34.4,0.64,1.7,2,73900000_1975-12-09 00:00:00.0_1977-11-11 00:00:00.0,1975-12-09,1977-11-11
73900000,1977-11-12 00:00:00.0,1978-07-18 00:00:00.0,1,3.0,1,1,40.0,67.0,1.0,16.0,0.31,1.6,2,73900000_1977-11-12 00:00:00.0_1978-07-18 00:00:00.0,1977-11-12,1978-07-18
73900000,1977-11-12 00:00:00.0,1978-07-18 00:00:00.0,2,3.0,1,1,67.0,110.0,1.0,40.92,0.48,1.557,2,73900000_1977-11-12 00:00:00.0_1978-07-18 00:00:00.0,1977-11-12,1978-07-18
73900000,1977-11-12 00:00:00.0,1978-07-18 00:00:00.0,3,3.0,1,1,110.0,200.0,1.0,34.3723,0.4,1.6,2,73900000_1977-11-12 00:00:00.0_1978-07-18 00:00:00.0,1977-11-12,1978-07-18
73900000,1978-07-19 00:00:00.0,2000-06-19 00:00:00.0,1,2.0,1,1,40.0,214.0,1.0,24.9537,0.37,1.769,2,73900000_1978-07-19 00:00:00.0_2000-06-19 00:00:00.0,1978-07-19,2000-06-19
73900000,1978-07-19 00:00:00.0,2000-06-19 00:00:00.0,2,2.0,1,1,214.0,600.0,1.0,34.4,0.64,1.7,2,73900000_1978-07-19 00:00:00.0_2000-06-19 00:00:00.0,1978-07-19,2000-06-19
73900000,2000-06-20 00:00:00.0,2003-12-31 00:00:00.0,1,3.0,1,1,40.0,76.0,1.0,32.64,0.17,3.0,2,73900000_2000-06-20 00:00:00.0_2003-12-31 00:00:00.0,2000-06-20,2003-12-31
73900000,2000-06-20 00:00:00.0,2003-12-31 00:00:00.0,2,3.0,1,1,76.0,382.0,1.0,34.3723,0.4,1.6,2,73900000_2000-06-20 00:00:00.0_2003-12-31 00:00:00.0,2000-06-20,2003-12-31
73900000,2000-06-20 00:00:00.0,2003-12-31 00:00:00.0,3,3.0,1,1,382.0,450.0,1.0,34.4,0.64,1.7,2,73900000_2000-06-20 00:00:00.0_2003-12-31 00:00:00.0,2000-06-20,2003-12-31
73900000,2004-01-01 00:00:00.0,2006-11-18 00:00:00.0,1,3.0,1,1,40.0,87.0,1.0,28.3214,0.11,3.0,2,73900000_2004-01-01 00:00:00.0_2006-11-18 00:00:00.0,2004-01-01,2006-11-18
73900000,2004-01-01 00:00:00.0,2006-11-18 00:00:00.0,2,3.0,1,1,87.0,161.0,1.0,42.381,0.42,1.54,2,73900000_2004-01-01 00:00:00.0_2006-11-18 00:00:00.0,2004-01-01,2006-11-18
73900000,2004-01-01 00:00:00.0,2006-11-18 00:00:00.0,3,3.0,1,1,161.0,400.0,1.0,32.2883,0.21,1.6,2,73900000_2004-01-01 00:00:00.0_2006-11-18 00:00:00.0,2004-01-01,2006-11-18
73900000,2006-11-19 00:00:00.0,2011-03-29 00:00:00.0,1,3.0,1,1,40.0,76.0,1.0,32.64,0.17,3.0,2,73900000_2006-11-19 00:00:00.0_2011-03-29 00:00:00.0,2006-11-19,2011-03-29
73900000,2006-11-19 00:00:00.0,2011-03-29 00:00:00.0,2,3.0,1,1,76.0,382.0,1.0,34.3723,0.4,1.6,2,73900000_2006-11-19 00:00:00.0_2011-03-29 00:00:00.0,2006-11-19,2011-03-29
73900000,2006-11-19 00:00:00.0,2011-03-29 00:00:00.0,3,3.0,1,1,382.0,450.0,1.0,34.4,0.64,1.7,2,73900000_2006-11-19 00:00:00.0_2011-03-29 00:00:00.0,2006-11-19,2011-03-29
73900000,2011-03-30 00:00:00.0,2015-07-14 00:00:00.0,1,4.0,1,1,30.0,67.0,1.0,29.7843,0.24,2.7,2,73900000_2011-03-30 00:00:00.0_2015-07-14 00:00:00.0,2011-03-30,2015-07-14
73900000,2011-03-30 00:00:00.0,2015-07-14 00:00:00.0,2,4.0,1,1,67.0,110.0,1.0,40.92,0.48,1.557,2,73900000_2011-03-30 00:00:00.0_2015-07-14 00:00:00.0,2011-03-30,2015-07-14
73900000,2011-03-30 00:00:00.0,2015-07-14 00:00:00.0,3,4.0,1,1,110.0,382.0,1.0,34.3723,0.4,1.6,2,73900000_2011-03-30 00:00:00.0_2015-07-14 00:00:00.0,2011-03-30,2015-07-14
73900000,2011-03-30 00:00:00.0,2015-07-14 00:00:00.0,4,4.0,1,1,382.0,900.0,1.0,34.4,0.64,1.7,2,73900000_2011-03-30 00:00:00.0_2015-07-14 00:00:00.0,2011-03-30,2015-07-14
73900000,2015-07-15 00:00:00.0,2023-12-31 00:00:00.0,1,4.0,1,1,20.0,70.0,1.0,33.9484,0.15,3.449,2,73900000_2015-07-15 00:00:00.0_2023-12-31 00:00:00.0,2015-07-15,2023-12-31
73900000,2015-07-15 00:00:00.0,2023-12-31 00:00:00.0,2,4.0,1,1,70.0,120.0,1.0,43.367,0.53,1.302,2,73900000_2015-07-15 00:00:00.0_2023-12-31 00:00:00.0,2015-07-15,2023-12-31
73900000,2015-07-15 00:00:00.0,2023-12-31 00:00:00.0,3,4.0,1,1,120.0,382.0,1.0,47.793,0.56,1.386,2,73900000_2015-07-15 00:00:00.0_2023-12-31 00:00:00.0,2015-07-15,2023-12-31
73900000,2015-07-15 00:00:00.0,2023-12-31 00:00:00.0,4,4.0,1,1,382.0,900.0,1.0,34.4,0.64,1.7,2,73900000_2015-07-15 00:00:00.0_2023-12-31 00:00:00.0,2015-07-15,2023-12-31
73900000,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,1,4.0,1,1,25.0,70.0,1.0,33.9484,0.15,3.449,1,73900000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,2024-01-01,2026-12-31
73900000,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,2,4.0,1,1,70.0,120.0,1.0,43.367,0.53,1.302,1,73900000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,2024-01-01,2026-12-31
73900000,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,3,4.0,1,1,120.0,382.0,1.0,47.793,0.56,1.386,1,73900000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,2024-01-01,2026-12-31
73900000,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,4,4.0,1,1,382.0,900.0,1.0,34.4,0.64,1.7,1,73900000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,2024-01-01,2026-12-31
73960000,1972-03-01 00:00:00.0,1973-06-25 00:00:00.0,1,3,1,1,130.0,185.0,1.0,202.7003,0.94,1.83,2,73960000_1972-03-01 00:00:00.0_1973-06-25 00:00:00.0,1972-03-01,1973-06-25
73960000,1972-03-01 00:00:00.0,1973-06-25 00:00:00.0,2,3,1,1,185.0,343.0,1.0,381.5458,1.31,1.3,2,73960000_1972-03-01 00:00:00.0_1973-06-25 00:00:00.0,1972-03-01,1973-06-25
73960000,1972-03-01 00:00:00.0,1973-06-25 00:00:00.0,3,3,1,1,343.0,750.0,1.0,295.9724,1.17,1.51,2,73960000_1972-03-01 00:00:00.0_1973-06-25 00:00:00.0,1972-03-01,1973-06-25
73960000,1973-06-26 00:00:00.0,1974-09-20 00:00:00.0,1,2,1,1,130.0,294.0,1.0,199.0908,1.0,1.9,2,73960000_1973-06-26 00:00:00.0_1974-09-20 00:00:00.0,1973-06-26,1974-09-20
73960000,1973-06-26 00:00:00.0,1974-09-20 00:00:00.0,2,2,1,1,294.0,450.0,1.0,295.9724,1.17,1.51,2,73960000_1973-06-26 00:00:00.0_1974-09-20 00:00:00.0,1973-06-26,1974-09-20
73960000,1974-09-21 00:00:00.0,1989-09-15 00:00:00.0,1,2,1,1,110.0,234.0,1.0,202.7003,0.94,1.83,2,73960000_1974-09-21 00:00:00.0_1989-09-15 00:00:00.0,1974-09-21,1989-09-15
73960000,1974-09-21 00:00:00.0,1989-09-15 00:00:00.0,2,2,1,1,234.0,850.0,1.0,295.9724,1.17,1.51,2,73960000_1974-09-21 00:00:00.0_1989-09-15 00:00:00.0,1974-09-21,1989-09-15
73960000,1989-09-16 00:00:00.0,1995-05-26 00:00:00.0,1,3,1,1,120.0,190.0,1.0,202.7003,0.93,1.83,2,73960000_1989-09-16 00:00:00.0_1995-05-26 00:00:00.0,1989-09-16,1995-05-26
