codigoestacao,veredicto,n_vigencias,vigencia_min,vigencia_max,huecos_vigencia_post_2000,cota_min_cm,cota_max_cm,n_aforos_desde_2000,aforo_datetime_min,aforo_datetime_max,mape_validacion
73200500,sin_curva,,,,,,,,,,
73201000,sin_curva,,,,,,,,,,
73201010,sin_curva,,,,,,,,,,
73203000,usable_sin_validacion,1.0,2018-10-01 00:00:00.0,2024-12-31 00:00:00.0,0.0,11.0,850.0,0.0,,,
73203200,sin_curva,,,,,,,,,,
73203500,sin_curva,,,,,,,,,,
73204000,usable_sin_validacion,1.0,2018-10-01 00:00:00.0,2023-12-31 00:00:00.0,0.0,190.0,895.0,0.0,,,
73204800,sin_curva,,,,,,,,,,
73204850,sin_curva,,,,,,,,,,
73205800,sin_curva,,,,,,,,,,
73220000,sin_curva,,,,,,,,,,
73249000,sin_curva,,,,,,,,,,
73250000,sin_curva,,,,,,,,,,
73250500,sin_curva,,,,,,,,,,
73251000,sin_curva,,,,,,,,,,
73290100,sin_curva,,,,,,,,,,
73300000,usable,12.0,1951-01-01 00:00:00.0,2026-12-31 00:00:00.0,0.0,40.0,450.0,101.0,2000-04-11 07:00:00,2026-03-05 10:40:00,0.05796088761572183
73310000,sin_curva,,,,,,,,,,
73317000,sin_curva,,,,,,,,,,
73318000,sin_curva,,,,,,,,,,
73330200,sin_curva,,,,,,,,,,
73330250,usable_sin_validacion,1.0,2015-09-01 00:00:00.0,2020-12-31 00:00:00.0,0.0,82.0,600.0,0.0,,,
73331000,sin_curva,,,,,,,,,,
73331800,sin_curva,,,,,,,,,,
73331850,sin_curva,,,,,,,,,,
73331900,sin_curva,,,,,,,,,,
73331910,sin_curva,,,,,,,,,,
73331915,sin_curva,,,,,,,,,,
73331920,sin_curva,,,,,,,,,,
73331930,sin_curva,,,,,,,,,,
73334500,sin_curva,,,,,,,,,,
73335000,sin_curva,,,,,,,,,,
73339000,sin_curva,,,,,,,,,,
73340000,usable_sin_validacion,2.0,2012-01-01 00:00:00.0,2023-12-31 00:00:00.0,0.0,-20.0,850.0,0.0,,,
73350000,usable,7.0,1969-09-01 00:00:00.0,2026-12-31 00:00:00.0,0.0,14.0,1000.0,105.0,2000-03-29 07:00:00,2026-03-06 09:33:00,0.08448456129887501
73389000,sin_curva,,,,,,,,,,
73390000,sin_curva,,,,,,,,,,
73420080,sin_curva,,,,,,,,,,
73436000,sin_curva,,,,,,,,,,
73437000,sin_curva,,,,,,,,,,
73440000,sin_curva,,,,,,,,,,
73444700,sin_curva,,,,,,,,,,
73445000,sin_curva,,,,,,,,,,
73448000,sin_curva,,,,,,,,,,
73490000,sin_curva,,,,,,,,,,
73510000,sin_curva,,,,,,,,,,
73510100,sin_curva,,,,,,,,,,
73510170,sin_curva,,,,,,,,,,
73511000,sin_curva,,,,,,,,,,
73511300,sin_curva,,,,,,,,,,
73511500,sin_curva,,,,,,,,,,
73511540,sin_curva,,,,,,,,,,
73511600,sin_curva,,,,,,,,,,
73520000,sin_curva,,,,,,,,,,
73528000,sin_curva,,,,,,,,,,
73552000,usable_sin_validacion,1.0,2013-06-06 00:00:00.0,2023-12-31 00:00:00.0,0.0,50.0,380.0,0.0,,,
73553000,usable_sin_validacion,1.0,2013-06-06 00:00:00.0,2023-12-31 00:00:00.0,0.0,105.0,380.0,0.0,,,
73558000,sin_curva,,,,,,,,,,
73560000,usable_sin_validacion,1.0,2007-11-01 00:00:00.0,2023-12-31 00:00:00.0,0.0,14.0,420.0,0.0,,,
73569000,sin_curva,,,,,,,,,,
73570000,usable_sin_validacion,1.0,2007-11-27 00:00:00.0,2023-12-31 00:00:00.0,0.0,2.0,490.0,0.0,,,
73571000,sin_curva,,,,,,,,,,
73571500,sin_curva,,,,,,,,,,
73582000,sin_curva,,,,,,,,,,
73582500,sin_curva,,,,,,,,,,
73582900,sin_curva,,,,,,,,,,
73600000,usable,6.0,1953-04-01 00:00:00.0,2026-12-31 00:00:00.0,0.0,30.0,500.0,105.0,2000-04-03 07:00:00,2026-03-04 10:45:00,0.08555461464283375
73600200,sin_curva,,,,,,,,,,
73600400,sin_curva,,,,,,,,,,
73600600,sin_curva,,,,,,,,,,
73600700,usable_sin_validacion,1.0,2013-04-21 00:00:00.0,2020-12-31 00:00:00.0,0.0,120.0,350.0,0.0,,,
73608000,sin_curva,,,,,,,,,,
73608100,sin_curva,,,,,,,,,,
73620000,sin_curva,,,,,,,,,,
73630000,sin_curva,,,,,,,,,,
73658000,sin_curva,,,,,,,,,,
73660000,sin_curva,,,,,,,,,,
73674500,sin_curva,,,,,,,,,,
73675000,sin_curva,,,,,,,,,,
73680800,sin_curva,,,,,,,,,,
73680900,sin_curva,,,,,,,,,,
73690030,sin_curva,,,,,,,,,,
73691000,usable_sin_validacion,1.0,2013-07-01 00:00:00.0,2020-12-31 00:00:00.0,0.0,-20.0,1070.0,0.0,,,
73692000,sin_curva,,,,,,,,,,
73692100,sin_curva,,,,,,,,,,
73692200,sin_curva,,,,,,,,,,
73692500,sin_curva,,,,,,,,,,
73693500,sin_curva,,,,,,,,,,
73693700,sin_curva,,,,,,,,,,
73693800,sin_curva,,,,,,,,,,
73694000,sin_curva,,,,,,,,,,
73699000,sin_curva,,,,,,,,,,
73700500,sin_curva,,,,,,,,,,
73710000,sin_curva,,,,,,,,,,
73712000,sin_curva,,,,,,,,,,
73765000,usable,4.0,1976-01-01 00:00:00.0,2026-12-31 00:00:00.0,0.0,49.0,850.0,94.0,2000-01-18 07:00:00,2025-11-27 09:51:00,0.1032087560348541
73770000,usable,5.0,1979-01-01 00:00:00.0,2026-12-31 00:00:00.0,0.0,5.0,1200.0,106.0,2000-01-17 07:00:00,2026-03-23 10:33:00,0.025677852123690514
73790000,sin_curva,,,,,,,,,,
73799000,sin_curva,,,,,,,,,,
73799010,sin_curva,,,,,,,,,,
73800000,sin_curva,,,,,,,,,,
73819000,sin_curva,,,,,,,,,,
73825300,sin_curva,,,,,,,,,,
73825320,sin_curva,,,,,,,,,,
73890000,sin_curva,,,,,,,,,,
73892000,sin_curva,,,,,,,,,,
73900000,usable,13.0,1953-01-01 00:00:00.0,2026-12-31 00:00:00.0,0.0,20.0,900.0,99.0,2000-01-21 07:00:00,2025-12-11 10:59:00,0.08097852301668945
73960000,usable,12.0,1972-03-01 00:00:00.0,2026-12-31 00:00:00.0,0.0,105.0,950.0,110.0,2000-01-14 07:00:00,2026-03-20 11:25:00,0.042341425093973185
74040080,sin_curva,,,,,,,,,,
74050000,sin_curva,,,,,,,,,,
