cota_cm,cota_m,vazao_m3s,rating_curve_id,segment_number,vigencia_inicio,vigencia_fin,coeficiente_a,coeficiente_h0_cm,coeficiente_n
130.0,1.3,492.481,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
131.0,1.31,500.179,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
132.0,1.32,507.936,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
133.0,1.33,515.755,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
134.0,1.34,523.633,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
135.0,1.35,531.572,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
136.0,1.36,539.571,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
137.0,1.37,547.631,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
138.0,1.38,555.751,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
139.0,1.39,563.931,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
140.0,1.4,572.172,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
141.0,1.41,580.473,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
142.0,1.42,588.835,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
143.0,1.43,597.257,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
144.0,1.44,605.739,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
145.0,1.45,614.282,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
146.0,1.46,622.885,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
147.0,1.47,631.549,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
148.0,1.48,640.273,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
149.0,1.49,649.058,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
150.0,1.5,657.903,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
151.0,1.51,666.808,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
152.0,1.52,675.775,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
153.0,1.53,684.801,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
154.0,1.54,693.888,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
155.0,1.55,703.036,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
156.0,1.56,712.244,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
157.0,1.57,721.513,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
158.0,1.58,730.842,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
159.0,1.59,740.232,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
160.0,1.6,749.682,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
161.0,1.61,759.193,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
162.0,1.62,768.765,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
163.0,1.63,778.397,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
164.0,1.64,788.09,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
165.0,1.65,797.843,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
166.0,1.66,807.657,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
167.0,1.67,817.532,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
168.0,1.68,827.467,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
169.0,1.69,837.463,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
170.0,1.7,847.519,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
171.0,1.71,857.636,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
172.0,1.72,867.814,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
173.0,1.73,878.052,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
174.0,1.74,888.352,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
175.0,1.75,898.711,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
176.0,1.76,909.132,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
177.0,1.77,919.613,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
178.0,1.78,930.155,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
179.0,1.79,940.757,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
180.0,1.8,951.421,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
181.0,1.81,962.145,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
182.0,1.82,972.929,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
183.0,1.83,983.775,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
184.0,1.84,994.681,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
185.0,1.85,1005.648,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
186.0,1.86,1016.676,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
187.0,1.87,1027.764,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
188.0,1.88,1038.913,74100000_2024-01-01 00:00:00.0_2026-12-31 00:00:00.0,1,2024-01-01 00:00:00.0,2026-12-31 00:00:00.0,290.6657,0.19,2.021
